Date,Open,High,Low,Close,Adj Close,Volume
2022-12-05,16245.625977,16424.753906,16136.502930,16171.797852,16171.797852,21158441563
2022-12-06,16172.191406,16330.746094,16182.046875,16326.098633,16326.098633,19001419647
2022-12-07,16326.100586,16359.901367,16019.413086,16027.472656,16027.472656,18717035116
2022-12-08,16026.732422,16356.066406,15977.717773,16326.217773,16326.217773,19417560064
2022-12-09,16324.961914,16367.995117,16236.149414,16244.917969,16244.917969,19274539758
2022-12-10,16245.931641,16332.431641,16241.229492,16248.855469,16248.855469,12054059993
2022-12-11,16249.791992,16376.317383,16243.125977,16257.107422,16257.107422,13423070672
2022-12-12,16255.499023,16329.627930,16076.055664,16322.681641,16322.681641,18609983128
2022-12-13,16322.683594,16820.679688,16218.597656,16736.257813,16736.257813,25069337961
2022-12-14,16736.960938,17154.388672,16621.232422,16687.332031,16687.332031,23917306155
2022-12-15,16685.453125,16720.275391,16294.892578,16322.278320,16322.278320,19705742862
2022-12-16,16321.979492,16452.953125,15649.158203,15708.399414,15708.399414,22675985898
2022-12-17,15707.926758,15857.841797,15674.422852,15852.651367,15852.651367,13651972395
2022-12-18,15853.140625,15875.103516,15760.838867,15832.535156,15832.535156,10321068134
2022-12-19,15833.540039,15861.481445,15459.555664,15491.159180,15491.159180,16227470460
2022-12-20,15493.145508,15982.218750,15492.875000,15911.115234,15911.115234,21384560398
2022-12-21,15909.442383,15921.787109,15786.716797,15853.267578,15853.267578,14029601625
2022-12-22,15854.064453,15839.223633,15677.452148,15875.791992,15875.791992,15509072793
2022-12-23,15875.133789,15921.419922,15859.444336,15746.622070,15746.622070,14370710930
2022-12-24,15746.644531,15809.933594,15743.412109,15794.045898,15794.045898,9135177431
2022-12-25,15793.811523,15806.043945,15777.098633,15857.252930,15857.252930,10974843059
2022-12-26,15857.500000,15903.123047,15816.237305,15902.823242,15902.823242,11172480318
2022-12-27,15902.340820,15935.183594,15632.481445,15716.216797,15716.216797,14805618249
2022-12-28,15715.489258,15743.266602,15546.357422,15573.189453,15573.189453,15999519839
2022-12-29,15572.955078,15637.797852,15534.274414,15611.149414,15611.149414,13575508700
2022-12-30,15610.200195,15611.368164,15346.846680,15478.656250,15478.656250,14850822297
2022-12-31,15479.671875,15502.722656,15398.803711,15426.750000,15426.750000,10477967597
2023-01-01,15427.140625,15541.694336,15402.266602,15528.423828,15528.423828,8634566625
2023-01-02,15528.825195,15699.348633,15475.975586,15630.739258,15630.739258,11331006135
2023-01-03,15631.091797,15727.685547,15769.708984,15817.341797,15817.341797,13184150981
2023-01-04,15817.671875,16002.794922,15783.755859,15899.841797,15899.841797,17369309126
2023-01-05,15900.061523,15902.215820,15902.749023,16002.543945,16002.543945,13014337151
2023-01-06,16002.293945,15960.681641,15921.389648,15896.708984,15896.708984,13516412396
2023-01-07,15896.847656,15945.719727,15861.756836,15900.098633,15900.098633,7234738931
2023-01-08,15899.224609,16028.553711,15871.001953,16028.553711,16028.553711,9161480345
